Borsa,Enlem,Boylam
AKSEHIR TICARET BORSASI,38.5054,31.4546
ALACA TICARET BORSASI,40.208,34.8637
ANKARA TICARET BORSASI,40.0157,32.7612
BANDIRMA TICARET BORSASI,40.3516,28.0175
BIGA TICARET BORSASI,40.2724,27.2414
CORUM TICARET BORSASI,40.7146,34.927
EDIRNE TICARET BORSASI,41.7519,26.5571
ESKISEHIR TICARET BORSASI,39.8063,30.5569
ILGIN TICARET BORSASI,38.4671,31.8908
KARAMAN TICARET BORSASI,37.2332,33.2232
KARAPINAR/KONYA TICARET BORSASI,37.7373,33.5133
KONYA TICARET BORSASI,38.1083,32.4982
KUTAHYA TICARET BORSASI,39.5328,29.9519
POLATLI TICARET BORSASI,39.6523,32.1614
SUNGURLU TICARET BORSASI,40.2969,34.3416
DENIZLI TICARET BORSASI,37.9599,29.0876
UZUNKOPRU TICARET BORSASI,41.3144,26.6802
ADANA TICARET BORSASI,37.1987,35.4094
NEVSEHIR TICARET BORSASI,38.7043,34.712
ANTAKYA TICARET BORSASI,36.219,36.1748
NAZILLI TICARET BORSASI,38.0284,28.305
