Ürün Grubu,Borsa,Yıl,Hafta,Ortalama en az fiyat,Ortalama en fazla,Ortalama ortalama,Toplam miktar,Toplam islem sayisi,Within 25 km,Within 25 km average capacity,Within 50 km,Within 50 km average capacity,Within 100 km,Within 100 km average capacity
Arpa,AKSEHIR TICARET BORSASI,2007,27,0.386666667,0.411833333,0.400777778,153220,29,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2007,28,0.376666667,0.425833333,0.4085,102420,15,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2007,29,0.4025,0.42,0.411,238580,39,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2007,30,0.365,0.48,0.393,363030,88,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2007,31,0.42,0.42,0.42,3500,1,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2007,32,0.395,0.395,0.395,28280,3,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2007,33,0.4,0.4,0.4,19000,1,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2007,34,0.41,0.44,0.41,197380,27,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2007,36,0.4,0.42,0.411,47040,5,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2007,37,0.4,0.41,,29740,2,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2007,38,0.41,0.43,0.418,40720,3,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2007,43,0.445,0.46,0.453,38338,4,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2008,10,0.5,0.5,0.5,25000,3,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2008,27,0.47125,0.475,0.474333333,291710,49,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2008,28,0.446666667,0.478333333,0.468333333,799960,171,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2008,29,0.465,0.4875,0.47625,217266,33,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2008,30,0.4525,0.505,0.47075,792528,192,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2008,31,0.463333333,0.483333333,0.473333333,146480,22,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2008,46,0.46,0.5,0.471,22800,5,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2009,27,0.308,0.31,0.309,3400,2,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2009,28,0.31,0.42,0.337,20000,5,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2009,37,0.34,0.34,0.36,47440,6,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2009,38,0.315,0.315,0.32,36970,3,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2009,40,0.306666667,0.316666667,0.315333333,85760,43,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2009,41,0.34,0.345,,37620,7,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2009,42,0.36,0.368,0.3625,163510,19,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2009,43,0.353333333,0.356666667,0.354,31840,6,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2009,44,0.356666667,0.38,0.3685,125500,8,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2009,45,0.336,0.374,0.353,591040,41,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2010,26,0.3525,0.3775,0.3715,1271570,123,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2010,27,0.363333333,0.383333333,0.3685,1621760,260,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2010,28,0.36,0.4,0.3715,2153686,894,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2010,29,0.36,0.39,0.379,81670,9,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2012,29,0.54,0.59,0.564,207590,24,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2015,28,0.556666667,0.59,0.577,683330,76,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2015,29,0.55,0.57,0.556,13340,2,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2015,30,0.55,0.6,0.566,372160,50,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,27,1.0875,1.1325,1.12,126220,19,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,28,1.032857143,1.122857143,1.093333333,997910,87,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,29,1.056666667,1.148333333,1.088333333,782925,91,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,30,1.061666667,1.118333333,1.088333333,552080,41,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,31,1.066,1.15,1.092,431480,37,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,32,1.006666667,1.143333333,1.1,609910,45,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,34,1.106666667,1.176666667,1.138333333,759880,52,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,35,1.026666667,1.133333333,1.063333333,1315850,50,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,36,1.108,1.192,1.168,663330,36,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,37,0.958333333,1.158333333,1.166,148280,11,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,38,1.096,1.176,1.142,273520,19,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,39,1.174,1.216,1.188,142680,13,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,40,1.125,1.185,1.175,40580,3,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,41,1.15,1.22,1.16,96380,3,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2019,42,1.1,1.2,1.13,261420,17,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2020,27,1.21,1.3025,1.255,685520,63,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2020,28,1.243333333,1.34,1.298333333,1338720,119,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2020,29,1.248571429,1.328571429,1.287142857,2006580,137,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2020,30,1.25,1.386666667,1.3,1700344,136,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2020,31,1.26,1.355,1.2925,882610,74,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2020,32,1.206666667,1.486666667,1.31,1479674,131,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2020,33,1.24,1.465,1.3075,2418837,245,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2021,26,2.315,2.48,2.41,266700,35,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2021,27,2.35,2.498,2.428,361160,51,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2021,28,2.41,2.49,2.464,224070,24,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2021,30,2.386,2.522,2.472,298500,27,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2021,31,2.293333333,2.546666667,2.386666667,403490,49,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2021,32,2.35,2.5125,2.4525,143075,16,4,0,10,0,32,12407.8125
Arpa,AKSEHIR TICARET BORSASI,2021,33,2.406666667,2.483333333,2.46,131930,7,4,0,10,0,32,12407.8125
